innovus 1> report_area
Depth  Name            #Inst  Area (um^2)
-----------------------------------------
0      project         613    4874.436   
1      vm              597    4601.1951  
2      vm/u1_u3        13     134.7282   
2      vm/u1_u0        10     56.0106    
2      vm/u2_u0        11     105.966    
2      vm/u2_u3        11     113.535    
2      vm/u2_u1        14     143.0541   
2      vm/u3_u0        9      42.3864    
2      vm/u0_u0        12     108.2367   
2      vm/u0_u1        12     135.4851   
2      vm/u1_u1        14     196.794    
2      vm/u3_u2        8      47.6847    
2      vm/u3_u3        6      42.3864    
2      vm/u0_u2        15     148.3524   
2      vm/u1_u2        12     150.6231   
2      vm/u0_u3        11     77.2038    
2      vm/u2_u2        11     164.2473   
2      vm/u3_u1        10     45.414     
3      vm/u0_u1/ha1    3      37.0881    
3      vm/u1_u1/ha1    3      42.3864    
3      vm/u3_u2/ha1    1      12.1104    
3      vm/u0_u0/ha2    4      28.0053    
3      vm/u0_u2/ha1    6      52.2261    
3      vm/u1_u0/ha2    2      17.4087    
3      vm/u3_u1/ha2    3      12.1104    
3      vm/u3_u2/ha2    3      16.6518    
3      vm/u1_u3/ha2    1      12.1104    
3      vm/u1_u2/ha1    3      42.3864    
3      vm/u0_u3/ha1    3      21.1932    
3      vm/u2_u2/ha1    2      35.5743    
3      vm/u0_u1/ha2    3      32.5467    
3      vm/u1_u1/ha2    3      29.5191    
3      vm/u0_u2/ha2    3      29.5191    
3      vm/u1_u3/ha1    3      24.9777    
3      vm/u1_u0/ha1    2      15.138     
3      vm/u3_u0/ha2    3      12.8673    
3      vm/u2_u0/ha1    3      25.7346    
3      vm/u2_u3/ha1    3      41.6295    
3      vm/u3_u3/ha1    1      12.1104    
3      vm/u1_u2/ha2    3      42.3864    
3      vm/u0_u3/ha2    3      12.1104    
3      vm/u2_u2/ha2    3      50.7123    
3      vm/u2_u1/ha1    5      43.9002    
3      vm/u3_u0/ha1    2      11.3535    
3      vm/u0_u0/ha1    2      21.1932    
3      vm/u3_u1/ha1    3      15.138     
3      vm/u2_u0/ha2    2      23.4639    
3      vm/u2_u3/ha2    1      12.1104    
3      vm/u2_u1/ha2    3      29.5191    
3      vm/u3_u3/ha2    1      12.1104    
1

